City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Ponferrada,ES,42.5466,-6.5962,25.9,44,81,2.85,broken clouds
314,Miracema Do Tocantins,BR,-9.5618,-48.3967,33.13,33,99,3.45,overcast clouds
315,Vidim,RU,56.4088,103.1106,4.88,73,20,1.69,few clouds
316,Guaraniacu,BR,-25.1008,-52.8781,22.1,51,100,0.95,light rain
317,Tual,ID,-5.6667,132.75,27.25,79,93,6.45,overcast clouds
318,Pathein,MM,16.7833,94.7333,28.82,77,88,3.86,overcast clouds
319,Roald,NO,62.5833,6.1333,15.51,88,75,3.09,broken clouds
320,Sainte-Martine,CA,45.2501,-73.7992,32.17,45,49,5.03,scattered clouds
321,Polovinnoye,RU,54.7914,65.9864,15.2,43,3,2.38,clear sky
322,Inta,RU,66.0317,60.1659,5.65,49,69,5.12,broken clouds
323,Kattivakkam,IN,13.2167,80.3167,30.04,85,81,5.06,broken clouds
324,Nevers,FR,46.9167,3.3333,18.33,76,90,2.36,overcast clouds
325,Kirakira,SB,-10.4544,161.9205,26.33,85,51,3.94,broken clouds
326,Vanimo,PG,-2.6741,141.3028,25.05,89,98,1.01,light rain
327,Morro Bay,US,35.3658,-120.8499,18.44,79,52,1.34,broken clouds
328,Necochea,AR,-38.5473,-58.7368,13.35,50,57,0.84,broken clouds
329,Saint-Paul,RE,-21.0096,55.2707,23.05,79,68,4.94,broken clouds
330,Salekhard,RU,66.53,66.6019,3.74,56,52,3.03,broken clouds
331,Vila,PT,42.0304,-8.1588,22.63,53,75,1.91,broken clouds
332,Dwarka,IN,22.2394,68.9678,29.5,69,0,6.06,clear sky
333,Dong Hoi,VN,17.4833,106.6,27.55,78,99,2.1,overcast clouds
334,Meulaboh,ID,4.1363,96.1285,24.18,89,100,2.08,overcast clouds
335,Boca Do Acre,BR,-8.7522,-67.3978,25.11,93,72,2.22,broken clouds
336,Lockhart,US,28.6194,-81.4426,36.16,54,94,1.34,overcast clouds
337,Saskylakh,RU,71.9167,114.0833,2.59,69,97,1.92,overcast clouds
338,Ust-Kuyga,RU,70.0167,135.6,5.82,67,8,1.8,clear sky
339,Porto Novo,BJ,6.4965,2.6036,27.9,77,75,4.88,broken clouds
340,Manggar,ID,-2.8833,108.2667,27.83,75,98,4.05,overcast clouds
341,At-Bashi,KG,41.1702,75.8106,12.46,76,95,0.37,overcast clouds
342,Umm Lajj,SA,25.0213,37.2685,28.99,55,0,5.22,clear sky
343,Kalmunai,LK,7.4167,81.8167,27.98,74,100,1.05,overcast clouds
344,Half Moon Bay,US,37.4636,-122.4286,26.01,62,1,0.45,haze
345,Westport,US,41.1415,-73.3579,36.82,44,5,0.89,clear sky
346,Tecoanapa,MX,16.5167,-98.75,30.93,65,100,3.72,overcast clouds
347,Hervey Bay,AU,-25.2986,152.8535,13.35,84,1,1.34,clear sky
